DL,Delta Air Lines,Delta,United States
UA,United Airlines,United,United States
AA,American Airlines,American,United States
WN,Southwest Airlines,Southwest,United States
B6,JetBlue Airways,JetBlue,United States
AS,Alaska Airlines,Alaska,United States
NK,Spirit Airlines,Spirit,United States
F9,Frontier Airlines,Frontier,United States
HA,Hawaiian Airlines,Hawaiian,United States
G4,Allegiant Air,Allegiant,United States
OO,SkyWest Airlines,SkyWest,United States
AC,Air Canada,Air Canada,Canada
WS,WestJet,WestJet,Canada
TS,Air Transat,Air Transat,Canada
PD,Porter Airlines,Porter Airlines,Canada
4N,Air North,Air North,Canada
F8,Flair Airlines,Flair,Canada
WG,Sunwing Airlines,Sunwing,Canada
BA,British Airways,British,United Kingdom
VS,Virgin Atlantic,Virgin Atlantic,United Kingdom
U2,EasyJet,EasyJet,United Kingdom
FR,Ryanair,Ryanair,Ireland
EI,Aer Lingus,Aer Lingus,Ireland
LH,Lufthansa,Lufthansa,Germany
AF,Air France,Air France,France
KL,KLM,KLM,Netherlands
IB,Iberia,Iberia,Spain
UX,Air Europa,Air Europa,Spain
AZ,Alitalia,Alitalia,Italy
EK,Emirates,Emirates,United Arab Emirates
EY,Etihad Airways,Etihad,United Arab Emirates
QR,Qatar Airways,Qatar,Qatar
SV,Saudia,Saudia,Saudi Arabia
TK,Turkish Airlines,Turkish,Turkey
MS,EgyptAir,EgyptAir,Egypt
ET,Ethiopian Airlines,Ethiopian,Ethiopia
SA,South African Airways,South African,South Africa
KQ,Kenya Airways,Kenya,Kenya
QF,Qantas,Qantas,Australia
NZ,Air New Zealand,Air New Zealand,New Zealand
CX,Cathay Pacific,Cathay Pacific,Hong Kong
SQ,Singapore Airlines,Singapore,Singapore
TG,Thai Airways,Thai,Thailand
MH,Malaysia Airlines,Malaysia,Malaysia
PR,Philippine Airlines,Philippine,Philippines
GA,Garuda Indonesia,Garuda,Indonesia
AK,AirAsia,AirAsia,Malaysia
NH,ANA,ANA,Japan
JL,Japan Airlines,JAL,Japan
OZ,Asiana Airlines,Asiana,South Korea
KE,Korean Air,Korean Air,South Korea
CI,China Airlines,China,Taiwan
BR,EVA Air,EVA Air,Taiwan
LA,LATAM Airlines,LATAM,Chile
AV,Avianca,Avianca,Colombia
AM,Aeromexico,Aeromexico,Mexico
CM,COPA Airlines,COPA Airlines,Panama
G3,GOL Airlines,GOL Airlines,Brazil
AD,Azul Airlines,Azul Airlines,Brazil
AR,Aerolineas Argentinas,Aerolineas Argentinas,Argentina
Y4,Volaris,Volaris,Mexico
6E,IndiGo,IndiGo,India
AI,Air India,Air India,India
SG,SpiceJet,SpiceJet,India
VN,Vietnam Airlines,Vietnam,Vietnam
PG,Bangkok Airways,Bangkok,Thailand
I5,AirAsia India,AirAsia India,India
UK,Vistara,Vistara,India
G8,GoAir,GoAir,India
JT,Lion Air,Lion Air,Indonesia
MM,Peach Aviation,Peach,Japan
JQ,Jetstar Airways,Jetstar,Australia
TR,Tigerair,Tigerair,Singapore