ABE,Allentown,PA,United States,Lehigh Valley International Airport
ABQ,Albuquerque,NM,United States,Albuquerque International Sunport
ABY,Chula Vista,CA,United States,Southwest Georgia Regional Airport
ACB,Winston-Salem,NC,United States,Bellaire/Antrim County Airport
AGS,Gaithersburg,MD,United States,Augusta Regional Airport
AMA,Amarillo,TX,United States,Amarillo International Airport
ANC,Anchorage,AK,United States,Ted Stevens International Airport
ATL,Atlanta,GA,United States,Atlanta International Airport
ATW,Irving,TX,United States,Outagamie County Regional Airport
AUS,Austin,TX,United States,Austin-Bergstrom International Airport
AVL,Asheville,NC,United States,Asheville Regional Airport
BFL,Bakersfield,CA,United States,Meadows Field Airport
BGR,Bangor,ME,United States,Bangor International Airport
BID,Naperville,IL,United States,Block Island State Airport
BIL,Billings,MT,United States,Billings Logan International Airport
BIS,Bismarck,ND,United States,Bismarck Municipal Airport
BJI,Saint Paul,MN,United States,Bemidji Regional Airport
BNA,Nashville,TN,United States,Nashville International Airport
BOI,Boise,ID,United States,Boise Airport
BOS,Boston,MA,United States,Boston Logan International Airport
BRL,Burlington,VT,United States,Southeast Iowa Regional Airport
BTR,Baton Rouge,LA,United States,Baton Rouge International Airport
BUF,Buffalo,NY,United States,Buffalo Niagara International Airport
BWG,Bowling Green,KY,United States,Bowling Green-Warren County Regional Airport
CHA,Chattanooga,TN,United States,Chattanooga Metropolitan Airport
CHS,Charleston,WV,United States,Charleston International Airport
CID,Cedar Rapids,IA,United States,Cedar Rapids Eastern Iowa Airport
CLE,Cleveland,OH,United States,Cleveland Hopkins International Airport
CLT,Charlotte,NC,United States,Charlotte/Douglas International Airport
COS,Colorado Springs,CO,United States,Colorado Springs Airport
COU,Columbia,MO,United States,Columbia Regional Airport
CPR,Casper,WY,United States,Natrona County International Airport
CRP,Corpus Christi,TX,United States,Corpus Christi International Airport
CSG,Columbus,OH,United States,Columbus Metropolitan Airport
CVG,Cincinnati,OH,United States,Cincinnati / Northern Kentucky International Airport
CYS,Cheyenne,WY,United States,Cheyenne Regional Airport
DAY,Dayton,OH,United States,Dayton International Airport
DEN,Denver,CO,United States,Denver International Airport
DFW,Dallas,TX,United States,Dallas/Fort Worth International Airport
DLH,Duluth,MN,United States,Duluth International Airport
DRO,Pasadena,CA,United States,Durango-La Plata County Airport
DSM,Des Moines,IA,United States,Des Moines International Airport
DTW,Detroit,MI,United States,Detroit Metro Airport
EAR,Baltimore,MD,United States,Kearney Municipal Airport
EAU,Gilbert,AZ,United States,Chippewa Valley Regional Airport
EKO,Carson City,NV,United States,Elko Regional Airport
ELP,El Paso,TX,United States,El Paso International Airport
ENW,Kenosha,WI,United States,Kenosha Regional Airport
ERI,Erie,PA,United States,Erie International Airport
EUG,Eugene,OR,United States,Eugene Airport
EVV,Evansville,IN,United States,Evansville Regional Airport
EWR,Newark,NJ,United States,Newark Liberty International Airport
EYW,Rock Hill,SC,United States,Key West International Airport
FAI,Fairbanks,AK,United States,Fairbanks International Airport
FAR,Fargo,ND,United States,Hector International Airport
FAT,Fresno,CA,United States,Fresno Air Terminal
FSD,Sioux Falls,SD,United States,Sioux Falls Regional Airport
FTW,Fort Worth,TX,United States,Fort Worth Meacham International Airport
FWA,Fort Wayne,IN,United States,Fort Wayne International Airport
FYV,Fayetteville,NC,United States,Drake Field
GEG,Spokane,WA,United States,Spokane International Airport
GFL,Biloxi,MS,United States,Floyd Bennett Memorial Airport
GPT,Gulfport,MS,United States,Gulfport-Biloxi International Airport
GRB,Green Bay,WI,United States,Austin Straubel International Airport
GRI,Grand Island,NE,United States,Central Nebraska Regional Airport
GRK,Santa Clarita,CA,United States,Killeen-Fort Hood Regional Airport
GRR,Grand Rapids,MI,United States,Gerald R. Ford International Airport
GSO,Greensboro,NC,United States,Piedmont Triad International Airport
HNL,Honolulu,HI,United States,Honolulu International Airport
HSV,Huntsville,AL,United States,Huntsville International Airport
HTS,Huntington,WV,United States,Tri-State Airport
HUF,Chandler,AZ,United States,Terre Haute International Airport
IAD,Washington,DC,United States,Washington Dulles International Airport
IAH,Houston,TX,United States,George Bush Intercontinental Airport
ICT,Wichita,KS,United States,Wichita Mid-Continent Airport
IND,Indianapolis,IN,United States,Indianapolis International Airport
IRK,Tacoma,WA,United States,Kirksville Regional Airport
IWA,Mesa,AZ,United States,Williams Gateway Airport
JAX,Jacksonville,FL,United States,Jacksonville International Airport
JFK,New York,NY,United States,John F. Kennedy International Airport
JNU,Juneau,AK,United States,Juneau International Airport
LAS,Las Vegas,NV,United States,Harry Reid International Airport
LAW,Nashua,NH,United States,Lawton-Fort Sill Regional Airport
LAX,Los Angeles,CA,United States,Los Angeles International Airport
LBB,Lubbock,TX,United States,Lubbock International Airport
LEB,North Las Vegas,NV,United States,Lebanon Municipal Airport
LEX,Lexington,KY,United States,Blue Grass Airport
LFT,Lafayette,LA,United States,Lafayette Regional Airport
LGA,Yonkers,NY,United States,Laguardia Airport 
LGB,Long Beach,CA,United States,Long Beach Airport
LIT,Little Rock,AR,United States,Little Rock National Airport
LNK,Lincoln,NE,United States,Lincoln Airport
LPR,West Jordan,UT,United States,Lorain County Regional Airport
LRD,Laredo,TX,United States,Laredo International Airport
LWS,Lewiston,ME,United States,Lewiston-Nez Perce County Airport
MCI,Kansas City,MO,United States,Kansas City International Airport
MCK,Henderson,NV,United States,Mc Cook Regional Airport
MCO,Orlando,FL,United States,Orlando International Airport
MDM,Warwick,RI,United States,Marshall Don Hunter Sr Airport
MEI,Aurora,CO,United States,Key Field Airport
MEM,Memphis,TN,United States,Memphis Airport
MFE,McAllen,TX,United States,Mcallen-Miller International Airport
MHE,Broken Arrow,OK,United States,Mitchell Municipal Airport
MHT,Manchester,NH,United States,Manchester Airport
MIA,Miami,FL,United States,Miami International Airport
MKE,Milwaukee,WI,United States,General Mitchell International Airport
MOB,Mobile,AL,United States,Mobile Regional Airport
MSN,Madison,WI,United States,Dane County Regional Airport
MSO,Missoula,MT,United States,Missoula International Airport
MSP,Minneapolis,MN,United States,Minneapolis/St. Paul International Airport
MSY,New Orleans,LA,United States,New Orleans International Airport
OAK,Oakland,CA,United States,Oakland International Airport
RDU,Raleigh,NC,United States,Raleigh-Durham International Airport
OKC,Oklahoma City,OK,United States,Will Rogers World Airport
OMA,Omaha,NE,United States,Eppley Airfield
ORD,Chicago,IL,United States,Chicago O'hare International Airport
ORF,Norfolk,VA,United States,Norfolk International Airport
ORH,Worcester,MA,United States,Worcester Regional Airport
OTM,Paterson,NJ,United States,Ottumwa Industrial Airport
OXC,Hialeah,FL,United States,Waterbury-Oxford Airport
PBI,Irvine,CA,United States,Palm Beach International Airport
PGA,Elizabeth,NJ,United States,Page Municipal Airport
PHF,Newport News,VA,United States,Newport News/Williamsburg International Airport
PHL,Philadelphia,PA,United States,Philadelphia International Airport
PHX,Phoenix,AZ,United States,Phoenix Sky Harbor International Airport
PIA,Peoria,AZ,United States,Peoria Regional Airport
PIT,Pittsburgh,PA,United States,Pittsburgh International Airport
PLB,Rockville,MD,United States,Clinton County Airport
PQI,Overland Park,KS,United States,Northern Maine Regional Airport
PSE,Aurora,IL,United States,Mercedita Airport
PSM,Virginia Beach,VA,United States,Pease International Airport
PVU,Provo,UT,United States,Provo Municipal Airport
PDX,Portland,OR,United States,Portland International Airport
PWM,Portland,ME,United States,Portland International Jetport
RAP,Rapid City,SD,United States,Rapid City Regional Airport
RIC,Richmond,VA,United States,Richmond International Airport
RNO,Reno,NV,United States,Reno-Tahoe International Airport
ROA,Roanoke,VA,United States,Roanoke Regional Airport
ROW,Roswell,NM,United States,Roswell Industrial Air Center Airport
RST,Rochester,MN,United States,Rochester International Airport
RUT,Rutland,VT,United States,Rutland State Airport
SAF,Santa Fe,NM,United States,Santa Fe Municipal Airport
SAN,San Diego,CA,United States,San Diego International Airport
SAT,San Antonio,TX,United States,San Antonio International Airport
SBN,South Bend,IN,United States,South Bend Regional Airport
SCK,Stockton,CA,United States,Stockton Metropolitan Airport
SDF,Louisville,KY,United States,Louisville International Airport
SEA,Seattle,WA,United States,Seattle/Tacoma International Airport
SFO,San Francisco,CA,United States,San Francisco International Airport
SGF,Chesapeake,VA,United States,Springfield Branson Regional Airport
SGJ,Norman,OK,United States,St Augustine Airport
SHV,Shreveport,LA,United States,Shreveport Regional Airport
SJC,San Jose,CA,United States,San Jose International Airport
SLE,Salem,OR,United States,Salem Municipal Airport - McNary Field
SMF,Sacramento,CA,United States,Sacramento International Airport
SPI,Springfield,MO,United States,Abraham Lincoln Capital Airport
SPS,Wichita Falls,KS,United States,Wichita Falls Municipal Airport
STL,Mount Pleasant,SC,United States,Lambert-St. Louis International Airport
SYR,Syracuse,NY,United States,Syracuse Hancock International Airport
TOL,Toledo,OH,United States,Toledo Express Airport
TPA,Tampa,FL,United States,Tampa International Airport
TUL,Tulsa,OK,United States,Tulsa International Airport
TUS,Tucson,AZ,United States,Tucson International Airport
TVL,St. Petersburg,FL,United States,Lake Tahoe Airport
TYR,Scottsdale,AZ,United States,Tyler Pounds Regional Airport
UNV,Clarksville,TN,United States,University Park Airport
VRB,Santa Ana,CA,United States,Vero Beach Municipal Airport